sample	treatment	cell_line	condition	replicate
BE2C_ASCL1_WTA1_R1_uninduced_S11	uninduced	BE2C	BE2C_uninduced	1
BE2C_ASCL1_WTA1_R2_uninduced_S13	uninduced	BE2C	BE2C_uninduced	2
BE2C_ASCL1_WTA1_R3_uninduced_S15	uninduced	BE2C	BE2C_uninduced	3
BE2C_ASCL1_WTA1_R4_uninduced_S17	uninduced	BE2C	BE2C_uninduced	4
BE2C_ASCL1_WTA1_R5_uninduced_S19	uninduced	BE2C	BE2C_uninduced	5
BE2C_ASCL1_WTA1_R1_induced_S12	induced	BE2C	BE2C_induced	1
BE2C_ASCL1_WTA1_R2_induced_S14	induced	BE2C	BE2C_induced	2
BE2C_ASCL1_WTA1_R3_induced_S16	induced	BE2C	BE2C_induced	3
BE2C_ASCL1_WTA1_R4_induced_S18	induced	BE2C	BE2C_induced	4
BE2C_ASCL1_WTA1_R5_induced_S20	induced	BE2C	BE2C_induced	5
IMR32_ASCL1_WT12_R1_uninduced_S21	uninduced	IMR32	IMR32_uninduced	1
IMR32_ASCL1_WT12_R2_uninduced_S23	uninduced	IMR32	IMR32_uninduced	2
IMR32_ASCL1_WT12_R3_uninduced_S25	uninduced	IMR32	IMR32_uninduced	3
IMR32_ASCL1_WT12_R4_uninduced_S27	uninduced	IMR32	IMR32_uninduced	4
IMR32_ASCL1_WT12_R5_uninduced_S29	uninduced	IMR32	IMR32_uninduced	5
IMR32_ASCL1_WT12_R1_induced_S22	induced	IMR32	IMR32_induced	1
IMR32_ASCL1_WT12_R2_induced_S24	induced	IMR32	IMR32_induced	2
IMR32_ASCL1_WT12_R3_induced_S26	induced	IMR32	IMR32_induced	3
IMR32_ASCL1_WT12_R4_induced_S28	induced	IMR32	IMR32_induced	4
IMR32_ASCL1_WT12_R5_induced_S30	induced	IMR32	IMR32_induced	5
SHEP_ASCL1_WTB11_R1_uninduced_S1	uninduced	SHEP	SHEP_uninduced	1
SHEP_ASCL1_WTB11_R2_uninduced_S3	uninduced	SHEP	SHEP_uninduced	2
SHEP_ASCL1_WTB11_R3_uninduced_S5	uninduced	SHEP	SHEP_uninduced	3
SHEP_ASCL1_WTB11_R4_uninduced_S7	uninduced	SHEP	SHEP_uninduced	4
SHEP_ASCL1_WTB11_R5_uninduced_S9	uninduced	SHEP	SHEP_uninduced	5
SHEP_ASCL1_WTB11_R1_induced_S2	induced	SHEP	SHEP_induced	1
SHEP_ASCL1_WTB11_R2_induced_S4	induced	SHEP	SHEP_induced	2
SHEP_ASCL1_WTB11_R3_induced_S6	induced	SHEP	SHEP_induced	3
SHEP_ASCL1_WTB11_R4_induced_S8	induced	SHEP	SHEP_induced	4
SHEP_ASCL1_WTB11_R5_induced_S10	induced	SHEP	SHEP_induced	5
jc2257_SH-SY5Y_RNAseq_WT31_uninduced	uninduced	SHSY	SHSY_uninduced	1
jc2258_SH-SY5Y_RNAseq_WT31_uninduced	uninduced	SHSY	SHSY_uninduced	2
jc2259_SH-SY5Y_RNAseq_WT31_uninduced	uninduced	SHSY	SHSY_uninduced	3
jc2260_SH-SY5Y_RNAseq_WT31_uninduced	uninduced	SHSY	SHSY_uninduced	4
jc2261_SH-SY5Y_RNAseq_WT31_uninduced	uninduced	SHSY	SHSY_uninduced	5
jc2262_SH-SY5Y_RNAseq_WT31_tet	induced	SHSY	SHSY_induced	1
jc2263_SH-SY5Y_RNAseq_WT31_tet	induced	SHSY	SHSY_induced	2
jc2264_SH-SY5Y_RNAseq_WT31_tet	induced	SHSY	SHSY_induced	3
jc2265_SH-SY5Y_RNAseq_WT31_tet	induced	SHSY	SHSY_induced	4
jc2266_SH-SY5Y_RNAseq_WT31_tet	induced	SHSY	SHSY_induced	5
